"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","X","GeneName"
"72","AT1G01690",186.958283082239,-0.36440303225019,0.156856976105676,0.016909165797494,0.0329537849469917,"AT1G01690","ATPRD3"
"73","AT1G01695",11.1332665860763,0.456774969081297,0.484042577120118,0.20049152725093,0.282393907335532,"AT1G01695","AT1G01695"
"74","AT1G01700",23.3350686571236,-0.868003517639067,0.35516581497757,0.00509424078033732,0.0112024819063247,"AT1G01700","ATROPGEF2"
"75","AT1G01710",461.121106558659,-0.120160806501694,0.0856008610144276,0.162458382693222,0.236125058092541,"AT1G01710","AT1G01710"
"76","AT1G01715",54.7294871424008,0.177243539588222,0.283806810078561,0.489625037918116,0.585335807917331,"AT1G01715","AT1G01715"
"77","AT1G01720",2977.00688793846,1.47468185761418,0.0995074668852325,1.89972448906501e-50,8.72535984791266e-49,"AT1G01720","NAC002/ATAF1"
"78","AT1G01725",61.2195563733465,-0.121809011729439,0.217309514288979,0.551691096343133,0.642755909945699,"AT1G01725","AT1G01725"
"79","AT1G01730",463.597843651827,-0.0821648148441452,0.0992402224956539,0.416687105508213,0.515175096059422,"AT1G01730","AT1G01730"
"80","AT1G01740",105.215972195664,-0.30881932928596,0.214075262899689,0.124509874311547,0.188386785685947,"AT1G01740","BSK4"
"81","AT1G01750",548.677395801332,-1.33512165377865,0.124215536309977,1.75001804375647e-27,3.26238657837761e-26,"AT1G01750","ADF11"
"82","AT1G01760",82.7207731234046,0.401543804705291,0.21080242307876,0.0440717396748569,0.077037859344971,"AT1G01760","AT1G01760"
"83","AT1G01770",342.324453662133,0.862656431076979,0.128732045579143,8.28887314086205e-12,5.76066296230838e-11,"AT1G01770","AT1G01770"
"84","AT1G01780",348.248587465325,-0.34824652971467,0.146263328396165,0.0144377272441996,0.0286789524700326,"AT1G01780","PLIM2B"
"85","AT1G01790",527.019346658682,-0.284963356394688,0.0943375959966628,0.00232143704774471,0.00546754002199475,"AT1G01790","KEA1"
"86","AT1G01800",1135.94500791737,0.113163512546436,0.103157342118625,0.277683883025887,0.370022781177696,"AT1G01800","AT1G01800"
"87","AT1G01810",15.1703373918464,0.420360785947963,0.411548407823687,0.201186914824567,0.283121702516378,"AT1G01810","AT1G01810"
"88","AT1G01820",752.928172709683,-0.19521895005143,0.0900385177421977,0.0295606698423282,0.0541185671770624,"AT1G01820","PEX11C"
"89","AT1G01830",372.422003962524,0.120079875910806,0.103821107329175,0.240384730826095,0.328428580935277,"AT1G01830","AT1G01830"
"90","AT1G01840",18.0607959705856,0.245375691510848,0.387272880729936,0.436308819594607,0.534844164993466,"AT1G01840","AT1G01840"
"91","AT1G01860",114.129390814024,0.0591305100601931,0.211988746533079,0.776421833374323,0.834452805271693,"AT1G01860","PFC1"
"92","AT1G01880",33.1700588244276,-0.206816074660532,0.306618165612017,0.444147611563867,0.542654106676919,"AT1G01880","GEN1"
"93","AT1G01900",102.622092003781,0.201632360192644,0.236384889424378,0.360892573236644,0.458221202191032,"AT1G01900","SBTI1.1"
"94","AT1G01910",1398.41131504065,0.220268223575065,0.0664700000982762,0.000864813329349,0.00222409215143499,"AT1G01910","AT1G01910"
"95","AT1G01920",554.002448258209,0.167999133775145,0.0888047354099555,0.0562820509897424,0.0952663680113265,"AT1G01920","AT1G01920"
"96","AT1G01930",389.882747648334,0.653043380373434,0.10995255752623,1.75587316190158e-09,9.69927545408978e-09,"AT1G01930","AT1G01930"
"97","AT1G01940",436.394684379699,-0.150155629681054,0.102400536460109,0.13908527288537,0.207092267513863,"AT1G01940","CYP18-1"
"98","AT1G01950",600.31352470556,-0.123660599705778,0.0942919012285397,0.191579901288772,0.271861352919473,"AT1G01950","ARK2"
"99","AT1G01960",3379.95586145894,0.0314611913861243,0.109475065726023,0.77163783315638,0.830729578314138,"AT1G01960","BIG3/EDA10"
"100","AT1G01970",121.909035887631,0.115631695775415,0.191427877909608,0.528713680041972,0.621732535279677,"AT1G01970","AT1G01970"
"101","AT1G01980",1.08279327066391,0.0754946818595855,0.641830925286015,0.677771284912193,0.753466082756614,"AT1G01980","SEC1A"
"102","AT1G01990",305.220508329554,0.407552872108754,0.121822426310238,0.000699418926792077,0.00183165027410642,"AT1G01990","AT1G01990"
"103","AT1G02000",459.942589595587,0.638886370284467,0.122992682692064,1.23332624230087e-07,5.59511438838499e-07,"AT1G02000","GAE2"
"104","AT1G02010",252.466760004421,0.506645622102593,0.126601051125167,4.30070018501514e-05,0.000137354927878456,"AT1G02010","SEC1A"
