"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","X","GeneName"
"42","AT1G01400",0,NA,NA,NA,NA,"AT1G01400","AT1G01400"
"43","AT1G01410",0,NA,NA,NA,NA,"AT1G01410","APUM22"
"44","AT1G01420",132.535212673291,0.0426656430275893,0.209593612984798,0.76206155935508,0.882293116945274,"AT1G01420","UGT72B3"
"45","AT1G01430",451.632892843585,-0.783310792157737,0.178673980093005,1.29429056625807e-06,3.48639484913512e-05,"AT1G01430","TBL25"
"46","AT1G01440",414.756642028687,-0.0541325481379769,0.134465557654217,0.643732175105575,0.814883636739382,"AT1G01440","AT1G01440"
"47","AT1G01450",69.2470425013475,-0.325242884639181,0.323284096513634,0.0737139608831069,0.218246802772826,"AT1G01450","AT1G01450"
"48","AT1G01453",53.8204908805318,0.726464974975395,0.56745108316151,0.0112530681071926,0.0587012264050285,"AT1G01453","AT1G01453"
"49","AT1G01460",0.164992233429452,0.00475405972259091,0.282564255603822,0.812051877932616,NA,"AT1G01460","PIP5K10/ATPIPK11"
"50","AT1G01470",16136.1611053158,-0.0903409462614389,0.163119898675944,0.499859727412718,0.712132962478806,"AT1G01470","LEA14"
"51","AT1G01480",444.630470395801,3.20185476413881,0.250789336269054,1.26383900203108e-38,4.57320142884946e-35,"AT1G01480","ACS2"
"52","AT1G01490",1457.02720413283,-0.0395814958038326,0.139726816181083,0.745118729410876,0.872335094231518,"AT1G01490","AT1G01490"
"53","AT1G01500",420.323885805334,0.124319849254503,0.129567457859827,0.276185075053645,0.506697157722636,"AT1G01500","AT1G01500"
"54","AT1G01510",1261.1342051342,-0.324166277016599,0.111259170749597,0.00128514785376352,0.0111652041028651,"AT1G01510","AN"
"55","AT1G01520",21.5164138557354,-0.0302154563909594,0.268570273388402,0.732959311855309,0.865651940362868,"AT1G01520","AT1G01520"
"56","AT1G01530",0,NA,NA,NA,NA,"AT1G01530","AGL28"
"57","AT1G01540",1035.28156726506,0.096762946469909,0.123806692354237,0.396492391188305,0.623740765530706,"AT1G01540","AT1G01540"
"58","AT1G01550",3530.45845073164,0.00425987342130398,0.100184464302469,0.964473996956888,0.984638305882874,"AT1G01550","BPS1"
"59","AT1G01560",53.1779524039937,0.249205573248862,0.405494040947825,0.0564133751296564,0.181995046639817,"AT1G01560","MPK11"
"60","AT1G01570",189.631339881387,-0.200393698743777,0.233844305543544,0.202060745922968,0.419832074561466,"AT1G01570","AT1G01570"
"61","AT1G01580",374.424690902833,-0.815077015547333,0.402952876874603,0.00297236783856342,0.0212070582132929,"AT1G01580","FRO2"
"62","AT1G01590",0.514701039564796,-0.0224218501685018,0.283433129635696,0.33180407891323,NA,"AT1G01590","FRO1"
"63","AT1G01600",1018.26448119854,0.00791410833732248,0.178637219745347,0.947260636041295,0.977330973202136,"AT1G01600","CYP86A4"
"64","AT1G01610",3366.80369756032,-0.145394548657344,0.185099800455265,0.310605763238268,0.542739821693263,"AT1G01610","GPAT4"
"65","AT1G01620",7545.99589205255,-0.153586389190993,0.15430212767642,0.237730076804257,0.462449783973929,"AT1G01620","PIP1-3/PIP1C"
