"GeneID","GeneName","Cluster","Order","Na_REG","NaCl (130mM)","NaNO3 (130mM)","KCl (130mM)","Sorbitol (260mM)","ABA (25uM)","NaCl (130mM)_padj","NaNO3 (130mM)_padj","KCl (130mM)_padj","Sorbitol (260mM)_padj","ABA (25uM)_padj"
"AT2G45900","AT2G45900",1,4261,"NSS",0.502422068351863,0.494197663320921,0.264600966381582,0.440108543265065,1.01671068785919,0.00428288520475696,0.00409458813145917,0.0749470009121521,0.0109994969056256,3.18767056570148e-07
"AT2G45970","CYP86A8",3,845,"NSS",-0.646222268935222,-0.422987380635685,-0.343213897396782,-0.739646137270195,0.246903797862379,2.74679732587005e-08,0.000178964915744824,0.00345515943931087,1.49591508254543e-10,0.17224393301711
"AT2G46110","KPHMT1/PANB1",3,69,"NSS",-0.180499797512873,-0.203255482505378,0.104675847184711,-0.518982464546781,-0.232444395008356,0.280414589732038,0.219264422112866,0.83107433316986,0.00261911308915274,0.178762715535282
"AT2G46130","WRKY43",3,123,"NSS",0.26154431372872,0.171517240287505,-0.00697986006955138,-1.09550030304168,0.429702379191651,0.696775622522585,0.88941297811004,0.804126893360517,5.21601126494621e-05,0.426176618494169
"AT2G46150","AT2G46150",3,1237,"NSS",-0.342949224540942,-0.387762258070429,-0.588079666997919,-0.297379948099073,-0.245853979902637,0.0274659214382382,0.0113451708537857,0.000330019519299374,0.0624328528681378,0.106683142534853
"AT2G46240","BAG6",2,4748,"NSS",0.82825942889466,1.24056098303087,0.89577883594654,0.384037886516134,0.64771839593122,6.17557409059154e-10,9.0327254265039e-20,3.54998345121731e-11,0.00182724740219071,6.81227296171989e-07
"AT2G46270","GBF3",2,4767,"NSS",0.689314378507497,0.716663322816182,0.954585372163737,0.629110166195763,2.22264731776327,1.22120353445098e-09,2.17397720735352e-10,1.98478456385109e-16,2.33433071013038e-08,4.97484952172038e-77
"AT2G46330","AGP16",3,602,"NSS",-0.704394990906123,-0.342749809161689,-0.382948540117021,-0.259819420598797,-0.371804093630869,1.15161907276083e-08,0.00598788810009011,0.00219996260596594,0.0452887507882028,0.00266301235353866
"AT2G46400","WRKY46",1,3813,"NSS",0.57004470990851,0.477782303229909,-0.0105091874559983,-0.699236920057281,-0.832091917400038,0.381727652901581,0.490830310363413,0.861558199734927,0.0448258067701982,0.076045740341726
"AT2G46495","ATL21A",4,1764,"NSS",-0.758101964089483,-1.19160988031883,-1.06380121572988,-0.016373631736299,-1.30283386446539,7.05611744443019e-06,1.11320236621006e-11,5.45570878117899e-09,0.387698889140583,3.60911483240211e-12
"AT2G46570","LAC6",3,812,"NSS",-0.316566910086434,-0.577889260299861,-0.180308280610289,-0.301451773011591,-0.892067974842899,0.0813884377338704,0.00368637251119969,0.250610844506873,0.103135639224586,7.22152944114895e-05
"AT2G46600","KIC",3,54,"NSS",-0.139826218859644,-0.299936281263412,-0.407896783068933,-0.541594005200918,-0.311593514030899,0.289830961530953,0.0348346904757018,0.00466040424376914,0.000160632145734289,0.0288611726901446
"AT2G46610","RS31A",1,4447,"NSS",0.390320635419839,0.396364742619166,0.559568039783143,0.210298631137691,0.269430723742973,0.0169630544332801,0.0147284511029758,0.000864069716809992,0.194959246348786,0.0919359295725947
"AT2G46630","AT2G46630",1,4083,"NSS",0.589304772054595,0.412852127105365,0.441571412391035,0.0350430593882008,0.306227290311864,0.000893807579422162,0.01822466869643,0.0125926153442163,0.669005144361733,0.0770657876051157
"AT2G46650","CYTB5-C/B5 #1",4,2483,"NSS",-0.473402787881645,-0.693854442796024,-0.912200698480135,-0.93473792347514,-0.94733294456149,0.000538393728895165,1.10673171532137e-06,1.49395959466618e-09,2.78862524786846e-10,3.04881378966705e-10
"AT2G46660","CYP78A6",4,2282,"NSS",-1.47014814479461,-0.852168410527292,-0.648542510059912,-0.243789589283712,-1.00134784729296,2.47575718779754e-10,6.48435182453328e-06,0.000442481382868724,0.0385695245878248,2.551393901835e-06
"AT2G46670","AT2G46670",1,3961,"NSS",0.651614183467112,-0.16921317793099,-0.150481970989172,0.0149986549269763,1.02677078845852,0.0125259315082565,0.440098289262027,0.429640523366149,0.274104311255429,0.00365289681522496
"AT2G46680","ATHB-7",2,5078,"NSS",1.18702891500078,1.23342621948896,1.18633371290122,1.33135274719044,2.8368724491117,7.52958973204216e-37,5.57296495896977e-40,1.0060738313586e-36,7.11548660596794e-46,1.67603663207622e-188
"AT2G46720","HIC",1,3747,"UP",0.252086623020896,0.975722944088611,-0.23081552427587,-0.130787204987983,2.48198466120475,0.00186171515053681,5.90598037322989e-05,0.0185000091615553,0.0145681986197709,3.6614086513645e-08
"AT2G46740","GULLO5",5,1673,"NSS",-1.15604881863228,-1.26506766610039,-1.07990108623691,-1.12468968688033,-1.85289537850422,3.45221235029064e-17,2.14753523224523e-20,2.58132226747767e-15,8.12214855698567e-17,1.32878619270525e-36
"AT2G46760","GULLO6",1,4480,"NSS",0.530891128908099,0.183552730731581,0.755795461252281,0.208147915523276,0.49388838501542,0.000627730658759206,0.182636707087526,1.6540597119917e-06,0.168012066965902,0.00135080720784019
"AT2G46830","CCA1",2,4662,"NSS",1.09438804766757,0.752201876593775,0.897923464095572,0.755268588014793,1.36284098556883,9.89230034438122e-11,3.18463345965284e-07,2.53249701231272e-08,4.43891253610394e-07,2.87489641169916e-14
"AT2G46860","PPA3",1,3804,"UP",0.589374775003774,0.548504736566684,-0.3207909497776,-0.415646418435457,0.358763356083355,0.000766401175546944,0.00157919934535216,0.179069526232499,0.0618560640034289,0.0550815657223675
"AT2G46890","AT2G46890",4,2463,"NSS",-0.746765258965109,-0.780752331718909,-0.785064088845052,-0.749139272974641,-1.05440437196453,3.06757937073595e-13,9.11586026162048e-15,3.60650421649806e-14,1.92774943451025e-13,2.28277657799326e-24
"AT2G46950","CYP709B2",1,3503,"NSS",0.574184832422012,-0.0265315442632774,0.484862477283588,1.26174703129376,2.32572501955561,6.13834643970764e-06,0.528679514814386,0.000134981726786184,9.5057883563562e-22,3.93902094721777e-67
"AT2G46980","ASY3",1,3211,"NSS",0.490727017059184,0.425648143109584,0.526335208402081,0.442767681666259,0.262946556164318,1.5278714486362e-07,3.41095269180473e-06,2.83273332787294e-08,2.5333147375776e-06,0.005406171774108
"AT2G47010","AT2G47010",3,485,"NSS",-0.221106040657215,-0.346397492726341,-0.860716015995305,-0.609631722937843,0.0442571050727576,0.108039097927922,0.0157535441817866,4.11068009822823e-08,5.27768116307554e-05,0.878316772507994
"AT2G47130","SDR3A",3,537,"NSS",-0.432307881566981,-0.626841124211421,-0.72695338124647,-0.314010191004289,-1.47784676125729,0.00198391769391809,1.15694672640228e-05,9.21805923210202e-07,0.0230780858640539,1.84550267274452e-21
"AT2G47140","SDR3B",3,83,"NSS",0.0805558689421253,-0.17235239811313,-0.232997477454222,-0.555072173083255,-0.432928187560904,0.888300227262464,0.266408346674359,0.140424733199709,0.000316303288771172,0.00494112938254279
"AT2G47160","BOR1",1,3475,"NSS",0.194884285348646,0.53996539934926,0.539472572661067,0.778389265487782,0.203319004647008,0.0486604830428023,3.60421480493741e-08,5.35680829285628e-08,1.77127910692186e-15,0.0403573718982428
"AT2G47180","GOLS1",2,4898,"NSS",1.14774903061785,1.09499084360862,0.790393826812159,0.39182414646876,0.281460436430173,1.03477073178482e-25,7.10318806995485e-24,4.07948351773819e-13,0.000237353813220562,0.0054132603034291
"AT2G47200","AT2G47200",4,2512,"NSS",-0.152914407952843,-0.412240979113267,-0.551776639107714,-1.39874565836454,-0.71178301990491,0.146554057863609,0.004541929678892,0.00041062354987082,1.80443818486331e-16,1.02463625602232e-05
"AT2G47270","UPB1",4,2426,"NSS",-0.924559058779472,-0.435107385149487,-0.719632004870893,-0.950786895153665,0.601086581429662,6.97525879945939e-14,0.000148681295651093,6.02692995896984e-09,5.6253679724553e-15,4.89058203743371e-05
"AT2G47360","AT2G47360",3,1336,"NSS",-0.213890217594161,-0.181239557687001,-0.586118795026536,-0.00915835476343182,-0.294060073236008,0.0964162781175788,0.163695719737901,3.10264406272514e-06,0.88026565591696,0.0199008268361533
"AT2G47370","AT2G47370",3,509,"NSS",-0.535084846835827,-0.560078231925112,-0.813185693887125,-0.377873925435224,-0.611183660232113,0.00295753654103948,0.00124107180029732,6.07083531611566e-05,0.0234195986627417,0.00096133426810533
"AT2G47460","MYB12",4,2183,"NSS",-0.787889443691856,-1.17721943927767,-0.981129668216484,-0.811168036368061,-1.18599558500364,7.33373913981114e-13,6.1589485335711e-27,1.11146833623857e-17,8.50941119588448e-14,1.36670941896288e-25
"AT2G47485","AT2G47485",3,871,"NSS",-0.416524221861431,-0.406798441617418,-0.323370323659349,-0.516610232070556,-0.52378754437536,0.00547678972413893,0.00629658393018896,0.0311368786669133,0.000742088994531885,0.000560828318934572
"AT2G47520","ERF071/HRE2",1,3359,"NSS",0.108482315267062,0.14792867163618,0.466366354203565,0.600689339496718,-0.516792341940948,0.266137857682958,0.226416654383685,0.0481065279738513,0.0179663454963645,0.975674307334505
