"Cluster","GeneID","GeneName","Order","Na_REG","NaCl (130mM)","NaNO3 (130mM)","KCl (130mM)","Sorbitol (260mM)","ABA (25uM)","NaCl (130mM)_padj","NaNO3 (130mM)_padj","KCl (130mM)_padj","Sorbitol (260mM)_padj","ABA (25uM)_padj","Cluster_order","Name"
1,"AT1G22990","HIPP22",5502,"UP",0.526121062372169,0.522066805173471,0.146926725207029,0.194007682641402,0.632584052216568,0.00380368566282208,0.00368578524968805,0.348369048475964,0.271775200135784,0.000494393989199952,"6","VI"
1,"AT3G16190","AT3G16190",6036,"NSS",0.504924316075486,0.557455051704695,0.549358240698471,0.307271215942197,0.374081686908163,0.000310306925614576,5.45032864651818e-05,7.05535742529314e-05,0.0297817446893113,0.00644095128823566,"6","VI"
1,"AT5G05100","AT5G05100",6359,"NSS",0.346368345120145,0.509210585781773,0.622878324063398,0.365930847656657,0.675106526059298,0.00192853718603809,3.30237310924727e-06,1.22456306277049e-08,0.00115784848028041,5.57668411199051e-10,"6","VI"
1,"AT4G00700","AT4G00700",6219,"NSS",0.355049415168714,0.36177831000488,0.671504521327702,0.37371822248753,1.66918283914142,0.000432250864731152,0.000271482268725808,1.19464403606007e-11,0.00023869183598652,3.20343487429604e-66,"6","VI"
1,"AT4G00750","AT4G00750",6990,"NSS",0.0871086005391684,0.361490335267418,0.61654657366126,0.807090572648913,1.26298505800763,0.424133582741679,0.0334307198620444,0.00056811479537352,1.30804703719773e-05,1.24379767590041e-11,"6","VI"
1,"AT5G16810","AT5G16810",6197,"NSS",0.20426580768213,0.426637035931424,0.637021424817533,0.215581489141248,0.508973047648437,0.171057628685857,0.00421984272267261,1.36196907624266e-05,0.160803043015459,0.000672345993882813,"6","VI"
1,"AT1G23070","AT1G23070",6575,"NSS",0.914638737474242,0.228790147890126,0.043717247204519,0.729718125107618,1.60572698996833,0.000982946204527801,0.00780879696364021,0.0138063351724282,0.00182453497092978,8.98330755472377e-05,"6","VI"
1,"AT4G34860","INVB",6914,"NSS",0.459124731955826,0.406916537594414,0.595193430202184,0.620026987236214,0.637699517708781,9.51275979887935e-11,1.27845138019155e-08,2.35170137617947e-17,1.42929911536011e-18,1.18129320055418e-19,"6","VI"
1,"AT5G34930","AT5G34930",6039,"NSS",0.532621563141425,0.52848744479205,0.450802229104588,0.308985435428692,-0.0279132119734096,1.48083576771901e-08,1.88705413437063e-08,1.70371201140297e-06,0.00163993644370386,0.931324540146093,"6","VI"
1,"AT2G32300","UCC1",6874,"NSS",-0.0541198903360889,-0.00132371825996648,0.313382103959826,0.59612290982549,1.51479431929493,0.871057314409882,0.883689777727991,0.0111218807324216,1.50201211663228e-06,9.10955549026818e-37,"6","VI"
1,"AT1G60360","AT1G60360",6211,"NSS",0.430357721680343,0.402786959991505,0.604602422827918,0.285864830160473,0.204539311007097,0.0372434250109707,0.0459235638210674,0.0036257044582598,0.152201034692248,0.255038450363587,"6","VI"
1,"AT1G71030","MYBL2",6962,"NSS",-0.411013698086982,0.270367803253332,0.614663291406783,0.465181416449094,1.46590372294384,0.990502041903923,0.161025916135413,0.0281895375542312,0.0705877446167334,8.2224092972195e-05,"6","VI"
1,"AT1G71040","LPR2",5994,"NSS",0.519052429358065,0.593646653401118,0.43133355510402,0.429936390031313,-0.341526891203094,0.000965164627836214,0.000126053913659412,0.00519368256699095,0.00667169055415919,0.0990052787726048,"6","VI"
1,"AT5G16920","AT5G16920",6687,"NSS",0.200395528937768,0.576203944609518,0.237983886986364,0.697015152526471,1.07289210323487,0.117142487880834,0.0159862879232914,0.0882012675654796,0.00801582102663626,0.000710855747111752,"6","VI"
1,"AT5G35330","MBD2/MBD02",6379,"NSS",0.429979301701594,0.505762138456242,0.631002023418914,0.205830343176662,0.219112137747958,1.36377454179606e-06,1.08438443535684e-08,4.08615021431343e-13,0.0299124656108987,0.0165382753979964,"6","VI"
1,"AT5G09640","SCPL19/SNG2",6945,"NSS",-0.328824417710342,0.0195411863258011,0.930378512596415,0.341717932160903,2.55972833522959,0.102992444560124,0.0332239117053513,0.00198709912357787,0.0150907244934916,8.28333626139116e-06,"6","VI"
1,"AT4G34990","MYB32",5904,"NSS",0.55064088455322,0.428078654711946,0.329404067189091,0.25969228934703,1.11796137327857,0.000572926949136036,0.00628426889364987,0.0328294876335352,0.100728939251021,2.13505851639174e-12,"6","VI"
